index,lr,rl,lR,Lr,rL,Rl,lL,rR,ll,rr,l,r,L,R,Space,Enter,Backspace,cpm,y
0,0.141001407436,0.107718420975,0.330035000108,0.394499199057,0.623468368979,0.316739991639,0.254671553855,0.433559999801,0.135659185186,0.177775874996,0.0937164767678,0.0661058676402,0.0951227977683,0.1101884,0.107875888908,0.0853201316081,0.0283018867925,212.035749226,3.0
1,0.116855285729,0.0832563749864,0.382249409038,0.394499199057,0.623468368979,0.316739991639,0.254671553855,0.389665206977,0.129279052692,0.197857833312,0.0938794166367,0.0671020952674,0.0951227977683,0.109117938907,0.0969244998414,0.0874926666419,0.0921424987004,242.414591873,3.0
2,0.205648999661,0.182248666727,0.382249409038,0.394499199057,0.623468368979,0.316739991639,0.254671553855,0.389665206977,0.240854190507,0.235285999952,0.0976959642721,0.0790331666358,0.0951227977683,0.109117938907,0.10406799987,0.088063250063,0.0921424987004,242.414591873,3.0
3,0.166185374983,0.150185941171,0.382249409038,0.394499199057,0.401217000093,0.641753999982,0.235930500086,0.389665206977,0.184985083334,0.197558363603,0.102981666682,0.0804342580959,0.0872829998843,0.199477999937,0.109081635246,0.122838000301,0.0921424987004,242.414591873,3.0
4,0.160869499979,0.164143599989,0.382249409038,0.596559999976,0.843933499884,0.303461999982,0.499365999829,0.389665206977,0.406580777787,0.139440250059,0.099028238051,0.0935279999161,0.104751857064,0.139844750054,0.0917390002869,0.0984482215316,0.0921424987004,242.414591873,3.0
5,0.103242777805,0.0819108750438,0.382249409038,0.394499199057,0.623468368979,0.316739991639,0.254671553855,0.389665206977,0.126378799975,0.160302250064,0.0897302105042,0.065701647059,0.0951227977683,0.101720999926,0.111012749956,0.0967408000026,0.0921424987004,242.414591873,3.0
6,0.136148178601,0.174046451661,0.382249409038,0.296394000063,0.623468368979,0.316739991639,0.155048999935,0.312604000016,0.17519553125,0.15635741665,0.0932950853404,0.0771953018628,0.0816064998507,0.0922783333032,0.0671156666552,0.102727903263,0.101941747573,206.204706285,3.0
7,0.176440399978,0.134758481532,0.382249409038,0.394499199057,0.623468368979,0.202789000235,0.254671553855,0.350710999686,0.189191829266,0.193713142836,0.0978467415945,0.0752924000637,0.0492894998752,0.0867262500105,0.0972770000808,0.109844200003,0.103092783505,194.181365396,3.0
8,0.196856399998,0.102897444429,0.382249409038,0.394499199057,0.623468368979,0.316739991639,0.254671553855,0.389665206977,0.150196000119,0.184143999999,0.100192111141,0.0708831665882,0.0691779996268,0.109117938907,0.095247999765,0.114877099963,0.0921424987004,242.414591873,3.0
9,0.271581375098,0.0804495833193,0.382249409038,0.245327999815,0.623468368979,0.316739991639,0.200465000235,0.389665206977,0.135074818168,0.175576999917,0.0936008518631,0.0755482272203,0.107258499833,0.110242999624,0.128266250016,0.101562699862,0.0921424987004,242.414591873,3.0
10,0.155460485736,0.109237545424,0.382249409038,0.394499199057,0.623468368979,0.295402999967,0.254671553855,0.389665206977,0.143380741934,0.243408321469,0.0937096932003,0.0706361976431,0.0951227977683,0.119134999656,0.106122799963,0.10209484217,0.0472103004292,236.168890556,3.0
11,0.0898612000048,0.138814250007,0.382249409038,0.394499199057,0.623468368979,0.316739991639,0.254671553855,0.239083999768,0.132164076902,0.174642999923,0.0996168799698,0.0692454000004,0.0951227977683,0.133659999818,0.105089333374,0.0940715000033,0.0921424987004,242.414591873,3.0
12,0.157699636438,0.0974746315593,0.0966280000284,0.394499199057,0.623468368979,0.316739991639,0.254671553855,0.343584999908,0.114217684163,0.17411421429,0.100420942288,0.0747602790767,0.0951227977683,0.114141000086,0.102072857121,0.0985230454455,0.104895104895,202.630096136,3.0
13,0.149541857209,0.116024620638,0.382249409038,0.394499199057,0.623468368979,0.330325999763,0.254671553855,0.343502200022,0.169494444435,0.17301471425,0.103397666684,0.0764309347142,0.083478000015,0.0925483334189,0.0898973333339,0.11007984622,0.205741626794,211.271912512,3.0
14,0.237438076928,0.125750615405,0.382249409038,0.394499199057,0.623468368979,0.316739991639,0.254671553855,0.389665206977,0.156028200065,0.264050857164,0.0955855999807,0.0732006923152,0.0951227977683,0.100708000129,0.109081635246,0.10077966669,0.0921424987004,242.414591873,3.0
15,0.142599444474,0.125615214264,0.382249409038,0.394499199057,0.623468368979,0.316739991639,0.254671553855,0.389665206977,0.217521230798,0.156991583256,0.093895612256,0.0668233214611,0.0951227977683,0.0612914999947,0.146300000139,0.0985374444216,0.0392156862745,189.534012359,3.0
16,0.221455125138,0.119862181854,0.382249409038,0.394499199057,0.623468368979,0.316739991639,0.254671553855,0.389665206977,0.153467374941,0.186704571425,0.094616944436,0.0710000476046,0.0951227977683,0.120151000097,0.0554940002039,0.0994268461632,0.0921424987004,242.414591873,3.0
