index,lr,rl,lR,Lr,rL,Rl,lL,rR,ll,rr,l,r,L,R,Space,Enter,Backspace,cpm,y
0,0.3903794443,0.242031375,,0.3632491429,,0.4536798335,0.4325399404,0.2894622036,0.3796406666,0.2571374425,0.1474506207,0.1590007001,0.1087865457,0.1766019999,0.124323,0.1365555,0.0721556742,291.961413466,5
1,0.2742671818,0.3127791,,0.3632491429,,0.4536798335,0.4325399404,0.2894622036,0.3355886875,0.3374415,0.1181597838,0.1122403913,0.1087865457,0.1045822578,0.15425125,0.1168209,0.0721556742,291.961413466,5
2,0.4362374547,0.341051625,,0.3632491429,,0.4536798335,0.4325399404,0.2894622036,0.3811561429,0.3426294706,0.0985963684,0.0945424359,0.1087865457,0.1045822578,0.0983383333,0.0972915334,0.0721556742,291.961413466,5
3,0.2726637777,0.2435721428,,0.3632491429,,0.4536798335,0.4325399404,0.2894622036,0.2288250001,0.1721413333,0.1397300625,0.1100055715,0.1087865457,0.1045822578,0.0835615001,0.1195665002,0.0721556742,291.961413466,5
4,0.306457,0.5010704999,,0.3632491429,,0.6003625002,0.4325399404,0.2894622036,0.2556543977,0.186274,0.1660196,0.0995316001,0.1087865457,0.1287459999,0.0911600349,0.0467587619,0.0377358491,259.987367721,5
5,0.3402060001,0.2650270667,,0.3632491429,,0.3122399999,0.3205249999,0.2439280001,0.1863834999,0.1892428333,0.117215275,0.0939509189,0.1360629997,0.082882,0.1160870001,0.0974657037,0.0463576159,151.184548459,5
6,0.2781665999,0.2053090001,,0.3632491429,,0.4536798335,0.4325399404,0.2719120001,0.2832614286,0.236882,0.1222371026,0.1023834,0.1087865457,0.130905,0.0911600349,0.1159945385,0.0721556742,291.961413466,5
7,0.3406780588,0.2935835833,,0.3632491429,,0.4536798335,0.4325399404,0.2894622036,0.3198863794,0.3297213889,0.126161371,0.0855528,0.1087865457,0.1045822578,0.0908584001,0.1004381176,0.041958042,144.271673044,5
8,0.3399423751,0.3623821112,,0.3632491429,,0.4536798335,0.4325399404,0.2894622036,0.2430639999,0.2800365,0.1346138695,0.1138444545,0.1087865457,0.1017539999,0.1384310001,0.1300729,0.0721556742,291.961413466,5
9,0.3947683333,0.4287608001,,0.3632491429,,0.4536798335,0.4325399404,0.2894622036,0.3988441667,0.3254043846,0.1372165652,0.0958713125,0.1087865457,0.1838719998,0.0953114999,0.1020933333,0.3303571429,116.039168745,5
