lr,rl,Lr,Rl,ll,rr,l,r,L,R,Space,Enter,cpm,y
0.21636014282,0.174616500004,0.328945010145,0.407072166648,0.343904666654,0.279187000046,0.143559083323,0.116261814824,0.138092999812,0.119464492088,0.138424000082,0.134074954587,160.6829829,0.0
0.262183599966,0.260321124981,0.328945010145,0.407072166648,0.290467916716,0.174625249929,0.133091555494,0.104083400002,0.123581999913,0.108073000098,0.18412199989,0.123593250057,160.6829829,0.0
0.50462849997,0.164526199922,0.328945010145,0.407072166648,0.206814153872,0.594112000118,0.138305208335,0.206411249994,0.124427477456,0.100065666872,0.127107499866,0.129701599944,160.6829829,0.0
0.420475599915,0.18212881824,0.301876666645,0.407072166648,0.189322500024,0.166610500077,0.122654799993,0.110884411754,0.110326500027,0.138106000144,0.137752826813,0.132912125089,160.6829829,0.0
0.162295166713,0.165131624963,0.270679499721,0.219145999756,0.19114384212,0.189474000052,0.13694564519,0.10890517644,0.121579499682,0.10657449998,0.114074999932,0.10319712502,160.6829829,0.0
0.264062714364,0.30441828571,0.328945010145,0.407072166648,0.332413099986,0.27722249995,0.130233315726,0.104121999923,0.124427477456,0.119464492088,0.156475000083,0.134074954587,160.6829829,0.0
0.296458699973,0.203025000077,0.371745999902,0.407072166648,0.168969400041,0.310360999856,0.123674649931,0.106761631531,0.124637999805,0.131633999757,0.137752826813,0.12711949988,160.6829829,0.0
0.217700666619,0.231782814816,0.328945010145,0.318208999932,0.212081941173,0.185669272799,0.124853876899,0.117874296322,0.127082999796,0.12058499991,0.137752826813,0.133179130458,152.381458062,0.0
0.242160999953,0.276558624901,0.322213999927,0.261171999853,0.241227466706,0.249434133371,0.122223428597,0.116441000041,0.13159549993,0.121748833374,0.123079999816,0.141939307742,160.6829829,0.0
0.245160545392,0.246583333317,0.67144299997,0.351232999936,0.200385600072,0.248041500105,0.134576829332,0.127585000018,0.145095999818,0.105567999883,0.137752826813,0.134956799975,160.6829829,0.0
0.371409500018,0.173314000014,0.399271000177,0.407072166648,0.410172899906,0.413416857099,0.136423444401,0.120812933333,0.15159699996,0.120747333393,0.121366571369,0.138092000037,160.6829829,0.0
0.288067340169,0.248912323051,0.328945010145,0.407072166648,0.234058661649,0.274395314538,0.167129000183,0.118508955277,0.124427477456,0.119464492088,0.137752826813,0.041804923271,1062.1045119,0.0
0.259214800006,0.208106624952,0.328945010145,0.407072166648,0.299285777819,0.210171888996,0.130397048802,0.122515677429,0.124427477456,0.204136000015,0.137752826813,0.128597800015,160.6829829,0.0
0.224444999958,0.193407470689,0.205494999886,0.407072166648,0.198739888871,0.237035133255,0.122066200012,0.10983797441,0.112830499886,0.121267000213,0.137752826813,0.12844665223,186.38756131,0.0
0.248197777714,0.166729000009,0.328945010145,0.330097999889,0.21804050003,0.370485124993,0.136443069012,0.109466259333,0.124427477456,0.0855479999445,0.187994000036,0.123653875053,160.6829829,0.0
0.217929750099,0.274832875002,0.328945010145,0.407072166648,0.218227499863,0.232454099972,0.135157105341,0.123307565227,0.124427477456,0.133882999886,0.137752826813,0.135017333345,160.6829829,0.0
0.261136333458,0.183240400068,0.348755999934,0.407072166648,0.189608818216,0.341758999857,0.132209238064,0.117915000005,0.13422274997,0.135785500053,0.137752826813,0.128273333423,160.6829829,0.0
